SMILES,res,interactive Donar electrons count,interactive Acceptore electrons count,negative ionizable electrones count,positive_ionizable electrons counts,H_zeff,B_zeff,C_zeff,N_zeff,O_zeff,Cl_zeff,Br_zeff,I_zeff,F_zeff,Na_zeff,Mn_zeff,S_zeff,P_zeff,Ca_zeff,K_zeff,Fe_zeff,Co_zeff,Cu_zeff,Ni_zeff,Au_zeff,Pt_zeff,Si_zeff,T(S_e-)_p,T(P_e-)_p,T(D_e-)_p,T(F_e-)_p,T(Mo_e-)_p,T(Mo_Val_e-)_p,mol(R)_p,mol(orb_exponent),mol_ms(R)_p,mol(susceptibility)_p,T_polari(α)_p,T_hard(η)_p,SphereEnergy
C[N+](C)(C)CCO.[Cl-],4.644,14,30,25,29,14.28,0.0,18.816000000000003,3.834,4.453,6.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,28,0,0,62,26,8.6315,94.9516,1.5594,-18.3648,8.6315,94.9516,0.1733713671243686
C/C(CCN1CCc2nc(-c3ccccc3)c(-c3ccccc3)cc2C1)=N\OC[C@@H](O)COCc1ccco1,5.117,14,28,28,12,35.7,0.0,34.496,7.668,13.359000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156,89,0,0,245,145,17.139699999999998,207.9079,3.2931,-36.4768,17.139699999999998,207.9079,0.090647653674731
O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,4.655,15,16,37,30,2.04,0.0,6.272,7.668,17.812,6.116,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,62,0,0,132,46,6.6472,163.4012,1.4301,-19.8747,6.6472,163.4012,0.001038230795715
C=CCc1ccc(OC(=O)c2ccccc2)c(OC)c1,4.798,7,36,24,12,16.32,0.0,15.68,0.0,13.359000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,46,0,0,126,74,7.575000000000001,101.5757,1.4138,-17.265900000000002,7.575000000000001,101.5757,0.0358589495174942
C/C(CCN1CCc2nc(-c3ccccc3)c(-c3ccccc3)cc2C1)=N\O[C@@H](C)c1cn([C@H](CO)Cc2ccccc2)nn1,5.503,14,28,28,12,40.8,0.0,37.632000000000005,7.668,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,100,0,0,280,170,18.5968,217.07919999999996,3.679,-37.787000000000006,18.5968,217.07919999999996,0.0857216753323937
CC1CC(O)[C@]2(O)[C@]13CC(=O)OC[C@@]2(C)[C@@](C)(O)C(=O)C3,5.167,13,40,28,12,22.44,0.0,47.04,0.0,26.718000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,54,0,0,138,72,21.366000000000003,258.3549,3.9096,-46.78829999999999,21.366000000000003,258.3549,0.067308044423258
CC(=O)OC1CC2C(C)(C)C(O)CC[C@@]2(C)C2CC[C@@]3(C)C(c4ccoc4)OC(=O)C4OC43[C@]12C,5.785,13,40,28,12,38.76,0.0,75.26400000000001,0.0,26.718000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,84,0,0,224,126,32.554800000000014,357.72119999999995,5.857200000000001,-68.85000000000002,32.554800000000014,357.72119999999995,0.0585056636053563
C/C(CCN1CCc2nc(-c3ccccc3)c(-c3ccccc3)cc2C1)=N\O[C@@H](C)CN1CCCc2nc(C)c(C)cc21,5.365,7,24,24,12,43.86,0.0,47.04,11.502,4.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172,93,0,0,265,165,21.92580000000001,234.4058999999999,4.0879,-44.92960000000001,21.92580000000001,234.4058999999999,0.067011253501184
CC(=O)Oc1cccc(O)c1,4.694,13,40,28,12,8.16,0.0,6.272,0.0,13.359000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,28,0,0,72,38,3.8454,68.4536,0.7646000000000001,-9.912,3.8454,68.4536,0.0332527790873541
C/C(CCN1CCc2nc(-c3ccccc3)c(-c3ccccc3)cc2C1)=N\O[C@@H](C)CN1CCCCc2nc(C)c(C)cc21,5.349,7,24,24,12,45.9,0.0,50.176,11.502,4.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176,95,0,0,271,169,23.169000000000008,245.44659999999988,4.3043000000000005,-47.38090000000001,23.169000000000008,245.44659999999988,0.0691484088312375
